keys,it
The event numbers themselves.,I numeri di evento stessi.
Cursor is over,Il cursore è su
(enters),(entra)
(leaves),(esce)
On gamepad connected / disconnected,Quando un gamepad viene collegato / scollegato
On %s clicked,Quando si fa clic su %s
repeat forever,ripeti all'infinito
repeat {count} times,ripeti {count} volte
button,pulsante
in the Inspector,nell'Inspector
calls,chiama
Add Inspector Button…,Aggiungi pulsante Inspector…
Count down {name},Conta alla rovescia {name}
by dt,di dt
never below 0,mai sotto 0
Start {name} for {seconds} seconds,Avvia {name} per {seconds} secondi
{name} has run out,{name} è scaduto
{name} is running,{name} è in corso
Forget {name},Dimentica {name}
Remove from layout,Rimuovi dal layout
"kept alive, not destroyed","resta vivo, non distrutto"
{table} {key} (or {fallback} when missing),{table} {key} (o {fallback} se manca)
the first {count} of {list},i primi {count} di {list}
the sum of {member} over {list},la somma di {member} su {list}
Sort {name} by {member},Ordina {name} per {member}
lowest first,dal più basso
highest first,dal più alto
Call the function stored in {table} {key},Chiama la funzione salvata in {table} {key}
a table of functions,una tabella di funzioni
Set item {key} to {value},Imposta l'elemento {key} su {value}
{object}.Item({key}),{object}.Item({key})
or {fallback},oppure {fallback}
save file is missing,file di salvataggio mancante
save file exists,il file di salvataggio esiste
Local Storage,Archiviazione locale
sequence ·,sequenza ·
a wait,un'attesa
pooled,riutilizzato
Return to pool,Rimetti nel pool
"hidden, ticking off, back in pool","nascosto, fermo, di nuovo nel pool"
Set effect parameter {name} to {value},Imposta il parametro effetto {name} su {value}
Remove effect,Rimuovi effetto
Set effect to {name},Imposta l'effetto su {name}
Tween effect parameter {name} from {from} to {to} in {seconds} seconds,Anima il parametro effetto {name} da {from} a {to} in {seconds} secondi
{object}'s effect parameter {name},parametro effetto {name} di {object}
Set tile at {cell} to {atlas},Imposta la tessera in {cell} su {atlas}
Erase tile at {cell},Cancella la tessera in {cell}
layer {n},livello {n}
tileset {id},set di tessere {id}
tile at {cell} has {name} set,la tessera in {cell} ha {name}
Make current,Rendi attiva
Set smoothing {state},Imposta l'ammorbidimento {state}
Scroll toward {target} at {rate},Scorri verso {target} a {rate}
(per second),(al secondo)
Set scroll limits {left} to {right},Imposta i limiti di scorrimento da {left} a {right}
left,sinistra
right,destra
top,alto
bottom,basso
(none - runs every tick),(nessuna - viene eseguito a ogni tick)
An event with no condition of its own runs every tick.,Un evento senza una condizione propria viene eseguito a ogni tick.
"An event with no condition of its own runs every tick. Add its actions with A, or add a condition later to narrow it down.","Un evento senza una condizione propria viene eseguito a ogni tick. Aggiungi le sue azioni con A, oppure aggiungi in seguito una condizione per restringerlo."
Runs every tick,Viene eseguito a ogni tick
runs every tick,viene eseguito a ogni tick
every tick,ogni tick
Current state is,Lo stato attuale è
"one named state at a time, switched by Go to state","un solo stato con nome alla volta, cambiato con Vai allo stato"
Load layout {path} in the background,Carica layout {path} in background
layout {path} has finished loading,il layout {path} ha finito di caricarsi
Apply gravity {gravity} (per second),Applica gravità {gravity} (al secondo)
Accelerate {axis} toward {target} at {rate} (per second),Accelera {axis} verso {target} a {rate} (al secondo)
Limit speed to {value},Limita la velocità a {value}
Move (and slide along what it hits),Muovi (e scivola lungo ciò che tocca)
Disable collisions with {layer},Disattiva le collisioni con {layer}
Enable collisions with {layer},Attiva le collisioni con {layer}
Ignore collisions with {other},Ignora le collisioni con {other}
Rotate toward {target} at {rate} (per second),Ruota verso {target} a {rate} (al secondo)
collided object is in family {name},l'oggetto colpito è nella famiglia {name}
Send {name} to everyone,Invia {name} a tutti
Send {name} to the host,Invia {name} all'host
Send {name} to {peer},Invia {name} a {peer}
Is host,È l'host
Owns this object,Possiede questo oggetto
from any peer,da qualsiasi peer
from the owner,dal proprietario
runs here too,viene eseguito anche qui
remote only,solo remoto
reliable,affidabile
unreliable,non affidabile
"unreliable, in order","non affidabile, in ordine"
Find path to {target},Trova un percorso verso {target}
Move along path at {speed},Avanza lungo il percorso a {speed}
Move along path at {speed} (avoiding others),Avanza lungo il percorso a {speed} (evitando gli altri)
Has arrived,È arrivato
Set as active camera,Imposta come camera attiva
Set animation frame to {value},Imposta fotogramma animazione su {value}
Set animation speed to {value},Imposta velocita animazione su {value}
Set image to {file},Imposta immagine {file}
Set sound to {file},Imposta suono {file}
Set pitch to {value},Imposta intonazione su {value}
Set bus to {bus},Imposta bus {bus}
Set volume to {value},Imposta volume su {value}
Set volume to {value} dB,Imposta volume su {value} dB
Set master volume to {value},Imposta volume generale su {value}
Set master volume to {value} dB,Imposta volume generale su {value} dB
Set {bus} volume to {value},Imposta volume di {bus} su {value}
Set {bus} volume to {value} dB,Imposta volume di {bus} su {value} dB
(0 to 1),(0 a 1)
Set focus,Imposta il focus
Show dialog,Mostra finestra
(centred),(centrato)
Seek to {seconds} seconds,Vai a {seconds} secondi
Set blend {name} to {value},Imposta fusione {name} su {value}
Travel to animation state {state},Vai allo stato di animazione {state}
Is playing,E in riproduzione
Set mirrored when {test},Specchia quando {test}
Set flipped when {test},Capovolgi quando {test}
Shake by {amount},Scuoti di {amount}
random offset this tick,scostamento casuale in questo tick
Bob {axis},Ondeggia {axis}
sine,seno
magnitude,ampiezza
per second,al secondo
Ease size back to normal at {rate},Torna alla dimensione normale a {rate}
Play sound,Riproduci suono
Stop sound,Ferma suono
"Sprite and animation: mirrored, frame, speed, opacity and the animation tree","Sprite e animazione: specchio, fotogramma, velocita, opacita e l'albero di animazione"
"UI: focus, progress bars, dialogs and the mixer","UI: focus, barre di avanzamento, finestre e il mixer"
"Sound: the file, its pitch, its bus, its volume and where it plays from","Suono: il file, la sua intonazione, il suo bus, il volume e da dove parte"
"Juice: shake, hitstop, bob, flash and the squash that eases back","Game feel: scossa, hitstop, ondeggio, lampo e lo schiacciamento che torna"
could adopt: %s,adottabile: %s
This script hand-writes something a shipped behavior already does. Right-click the marked event to see what would change.,Questo script scrive a mano qualcosa che un comportamento incluso fa gia. Clic destro sull'evento segnato per vedere cosa cambierebbe.
Cooldown,Ricarica
UI,Interfaccia
Sound,Suono
Juice,Sugosita
Camera,Telecamera
Multiplayer,Multigiocatore
Navigation,Navigazione
Effects,Effetti
State Machine,Macchina a stati
Platformer,Platform
State machine,Macchina a stati
Object pool,Pool di oggetti
Wait sequence,Sequenza di attesa
Save / load,Salva / carica
Loading screen,Schermata di caricamento
Sprite animation,Animazione sprite
Existence,Esistenza
Tilemap,Mappa a caselle
ObjectPool,ObjectPool
Save System,Sistema di salvataggio
Scene Flow,Flusso delle scene
Nav Agent,Agente di navigazione
"a number counted down every tick, with something that happens when it reaches zero","un numero che scende a ogni tick, e qualcosa che accade a zero"
"one value says what something is doing, and every event asks it first","un valore dice cosa sta facendo qualcosa, e ogni evento lo chiede per primo"
objects are kept and reused instead of created and destroyed,gli oggetti vengono tenuti e riusati invece che creati e distrutti
steps that run one after another with a wait between them,passi che si susseguono con un'attesa tra uno e l'altro
values written to a file and read back the next time the game runs,valori scritti su file e riletti al prossimo avvio
"gravity, acceleration, a speed limit and a move, every tick","gravita, accelerazione, limite di velocita e movimento, a ogni tick"
"something on screen follows a value, or is shown and hidden","qualcosa a schermo segue un valore, o viene mostrato e nascosto"
"a sound is chosen, tuned and played","un suono viene scelto, regolato e riprodotto"
"a short push on position, scale, tint or time that makes a hit feel like one","una spinta breve su posizione, scala, tinta o tempo che fa sentire un colpo"
"the view follows something, inside limits, at a zoom","la vista segue qualcosa, entro dei limiti, a un certo zoom"
something is checked for being there before it is used,si verifica che qualcosa ci sia prima di usarlo
a scene is loaded in the background while a bar shows how far it got,una scena si carica in background mentre una barra mostra il progresso
"messages sent to the host or to everyone, and who owns what","messaggi inviati all'host o a tutti, e chi possiede cosa"
"a frame, a speed, a mirrored look and an animation that is playing","un fotogramma, una velocita, un aspetto specchiato e un'animazione in corso"
"a destination, the next waypoint toward it, and arriving","una destinazione, il prossimo punto verso di essa, e l'arrivo"
"a shader parameter set, tweened or removed","un parametro dello shader impostato, animato o rimosso"
tiles read and written by position,caselle lette e scritte per posizione
"an event with no condition of its own, so it runs every tick","un evento senza condizioni proprie, quindi gira a ogni tick"
1 pattern,1 schema
%d patterns,%d schemi
%d adoptable,%d adottabili
Open in the Manual,Apri nel Manuale
read as the %s pattern,letto come schema %s
read as the %s pattern because,letto come schema %s perche
Hand-written,Scritto a mano
As events,Come eventi
Common Game Patterns,Schemi di gioco comuni
"The shapes a game is made of, each one written by hand on the left and read as events on the right. Every example is a real file this editor opens: press Insert to put the rows in your sheet, or Try it to open them in a scratch sheet.","Le forme di cui e fatto un gioco: a sinistra scritte a mano, a destra lette come eventi. Ogni esempio e un file vero che questo editor apre: Inserisci mette le righe nel tuo foglio, Provalo le apre in un foglio di prova."
Adopt behavior,Adotta il comportamento
Adopt behavior: %s,Adotta il comportamento: %s
Adopt behavior: %s…,Adotta il comportamento: %s…
Explain this reading,Spiega questa lettura
